"","vars","n","mean","sd","min","max","range","se"
"leaid",1,83513,2909770.10297798,1504464.06105329,100002,7800030,7700028,5206.00732956259
"percent_charter",2,21350,0.922606522470066,0.200625309164838,0.0175438596491228,1,0.982456140350877,0.00137305134948158
"student_teacher_ratio.x",3,79660,17.6219869445142,237.597490547753,0.2,22350,22349.8,0.841824766156388
"per_pupil_exp",4,76801,110262.289510032,16868050.713261,647.67,3305212123.46,3305211475.79,60866.9388571912
"year",5,82831,2014.03470922722,2.23048152211505,2011,2017,6,0.00775000847663837
"ave_students_susp_in_sch",6,82820,6.62799654422036,10.4368740191775,0,267.5,267.5,0.0362662647923942
"ave_students_susp_out_sch_single",7,82827,4.5375613699122,6.14658851715725,0,130,130,0.0213573898191211
"ave_students_susp_out_sch_multiple",8,82827,3.14641171409461,6.06406043042736,0,129.166666666667,129.166666666667,0.0210706316418987
"ave_students_arrested",9,82820,0.136280519963877,0.722032064188705,0,66.3333333333333,66.3333333333333,0.00250893188711022
"ave_expulsions_no_ed_serv_white",10,82827,0.19365311635472,1.63820233564685,0,133,133,0.00569221866525498
"ave_expulsions_no_ed_serv_black",11,82827,0.139285494342521,1.61996584463053,0,101,101,0.00562885280849049
"ave_expulsions_no_ed_serv_hispanic",12,82827,0.053543161518062,0.32312346370357,0,46,46,0.00112274861978454
"ave_expulsions_with_ed_serv_white",13,82820,0.253369195782581,0.93002594849938,0,41,41,0.0032316733200095
"ave_expulsions_with_ed_serv_black",14,82820,0.16502653121088,0.839350105386043,0,26.5,26.5,0.00291659103286304
"ave_expulsions_with_ed_serv_hispanic",15,82820,0.0944378453935134,0.446621307720703,0,24.9032258064516,24.9032258064516,0.00155192891836793
"ave_expulsions_zero_tolerance_white",16,82827,0.0871369777674277,0.549424024347655,0,37.5882352941176,37.5882352941176,0.00190906923917695
"ave_expulsions_zero_tolerance_black",17,82827,0.0410331644630477,0.244037335143883,0,8,8,0.000847950124290721
"ave_expulsions_zero_tolerance_hispanic",18,82827,0.0298611068427327,0.264015788785415,0,23.8064516129032,23.8064516129032,0.000917368732875696
"ave_percentage_students_susp_in_sch_white",19,80097,Inf,NA,0,Inf,Inf,NA
"ave_percentage_students_susp_in_sch_black",20,74921,Inf,NA,0,Inf,Inf,NA
"ave_percentage_students_susp_in_sch_hispanic",21,78004,Inf,NA,0,Inf,Inf,NA
"student_teacher_ratio.y",22,79660,17.6219869445142,237.597490547753,0.2,22350,22349.8,0.841824766156388
"lea_name",23,56920,NA,NA,Inf,-Inf,-Inf,NA
"fips",24,56920,28.7385804638089,15.3429359353542,1,72,71,0.0643096322244531
"state",25,56920,NA,NA,Inf,-Inf,-Inf,NA
"gradecenter",26,56920,5.5,0,5.5,5.5,0,0
"achiev_math_ols_all",27,55828,-0.00179791977240228,0.354244134935212,-2.85713688667288,1.35181375704975,4.20895064372263,0.00149925889322603
"lr_math_ols_all",28,51341,0.00276903283446555,0.0546466844465708,-0.26033947391747,0.267267839001148,0.527607312918618,0.000241174649266873
"achiev_ela_ols_all",29,55859,0.00783813522257137,0.336023208812014,-1.8125852310014,1.29018087664177,3.10276610764316,0.00142174823062976
"lr_ela_ols_all",30,47397,0.00265658946323644,0.0413301074692894,-0.18240403141987,0.290063434189378,0.472467465609247,0.000189841478551354
"achiev_se_math_ols_all",31,55828,0.0298570088377963,0.0179691698142476,0.0160327992004228,0.228281912769928,0.212249113569505,7.60504832432202e-05
"lr_se_math_ols_all",32,51341,0.0175286151760621,0.00537386897632702,0.0109855290421649,0.0342586907474931,0.0232731617053282,2.37167355841866e-05
"achiev_se_ela_ols_all",33,55859,0.0290529073043647,0.0181053100682781,0.0160289963307647,0.21752798221726,0.201498985886495,7.66054006971237e-05
"lr_se_ela_ols_all",34,47397,0.0157769447798725,0.00380116907883172,0.0109576355837786,0.0260676065595826,0.015109970975804,1.74599003567873e-05
"achiev_math_bayes_all",35,55828,-0.001672080807549,0.350918538996758,-2.35644191189127,1.33765331699456,3.69409522888582,0.001485184053887
"lr_math_bayes_all",36,51341,0.00252864593352426,0.0479999762607286,-0.229384804960125,0.205167962703038,0.434552767663163,0.00021184043564103
"achiev_ela_bayes_all",37,55859,0.0078719697845347,0.332222897002917,-1.86753496407069,1.27721114091469,3.14474610498538,0.00140566872645049
"lr_ela_bayes_all",38,47397,0.00236139892302735,0.0353900899504752,-0.164135855727968,0.250861993183151,0.414997848911119,0.000162557211041753
"achiev_se_math_bayes_all",39,55828,0.0273438433927851,0.0118716634822337,0.0158859201310144,0.121876862180769,0.105990942049755,5.02441545189754e-05
"lr_se_math_bayes_all",40,51341,0.0154693153429577,0.00376234479647141,0.0104429823325096,0.0269303438127112,0.0164873614802016,1.66045240603244e-05
"achiev_se_ela_bayes_all",41,55859,0.0263709121524557,0.0113275172000648,0.015868379054584,0.114318763741443,0.0984503846868589,4.79278725822478e-05
"lr_se_ela_bayes_all",42,47397,0.0133416558594571,0.00232931319939056,0.0100565475723691,0.02003303538697,0.0099764878146009,1.06992284525287e-05
"achiev_all_ols_all",43,55948,0.000662341702177685,0.343394587699531,-2.34708801561925,1.24929072524219,3.59637874086145,0.00145178118203466
"lr_all_ols_all",44,53535,0.00294648200515957,0.0451589505252884,-0.202826929944155,0.239185273976177,0.442012203920331,0.000195175336610501
"achiev_se_all_ols_all",45,55948,0.0212717470284291,0.0141711154276109,0.0118266795290827,0.226991728613555,0.215165049084473,5.99117151032332e-05
