"leaid","ave_students_susp_in_sch","ave_students_susp_out_sch_single","ave_students_susp_out_sch_multiple","ave_students_arrested","ave_expulsions_no_ed_serv_white","ave_expulsions_no_ed_serv_black","ave_expulsions_no_ed_serv_hispanic","ave_expulsions_with_ed_serv_white","ave_expulsions_with_ed_serv_black","ave_expulsions_with_ed_serv_hispanic","ave_expulsions_zero_tolerance_white","ave_expulsions_zero_tolerance_black","ave_expulsions_zero_tolerance_hispanic","ave_percentage_students_susp_in_sch_white","ave_percentage_students_susp_in_sch_black","ave_percentage_students_susp_in_sch_hispanic"
100002,2.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,Inf,Inf,Inf
100005,13.5833333333333,5.5,1.81944444444444,0.138888888888889,0.0416666666666667,0,0,0,0,0,0,0,0,0.0109046613076358,0.0246435460483871,0.00810633070848766
100006,13.1851851851852,3.49382716049383,1.16049382716049,0.135802469135802,3.09259259259259,0.111111111111111,0.685185185185185,3.96296296296296,0.0740740740740741,0.5,0,0,0,0.00841459205299948,0.0150394119135802,0.0051338179260631
100007,0.802083333333333,4.00520833333333,1.13541666666667,0.0520833333333333,0,0,0,0,0.015625,0.03125,0,0,0,0.000114298066502062,0.000462419844011119,0.000183362539636582
100008,22.9922480620155,9.33333333333333,2.12403100775194,0.0310077519379845,0,0,0,0.186046511627907,0.302325581395349,0.0465116279069767,0,0,0,0.00594084229482812,0.0192705848719604,0.00529417077993752
100009,3.36111111111111,2.02777777777778,0.638888888888889,0,0,0,0,0,0,0,0,0,0,Inf,Inf,Inf
100011,24.1794871794872,14.6153846153846,5.64102564102564,0.0512820512820513,0.153846153846154,0,0,0.615384615384615,0.769230769230769,0,0,0,0,0.0375773243126551,0.0777305819838057,0.0171151185520362
100012,5.51666666666667,1.71666666666667,0.45,0.233333333333333,0.1,0,0,0.25,0,0,0,0,0,0.010361967121134,0.01565171,0.0026086958
100013,12.5490196078431,3.76470588235294,0.92156862745098,0.117647058823529,0,0,0,0,0.117647058823529,0,0,0,0,0.00861571338545656,0.01746218836834,0.0257997980392157
100018,0,1.41666666666667,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,NA,NA,NA
100019,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100020,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100021,0,0.777777777777778,0.222222222222222,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100023,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100024,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,NA,NA,NA
100026,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100030,17.25,9.28333333333333,4.91666666666667,0.0666666666666667,0.2,0.45,0,0.4,1.1,0,0.1,0,0,0.0118321420383721,0.0311040989701465,0.00589608134069767
100033,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100035,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100038,0,5.33333333333333,4.08333333333333,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100039,1.88888888888889,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,Inf,Inf,NA
100040,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100041,16.4166666666667,2.33333333333333,3.66666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,Inf,Inf,Inf
100042,3.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,Inf,Inf,Inf
100043,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100044,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100060,28.3611111111111,0.611111111111111,0.638888888888889,0,0,0,0,0,0.333333333333333,0,0.166666666666667,0,0,0.0321956505833333,0.0985108853776979,0.0182748538888889
100090,20.4074074074074,8.88888888888889,8.03333333333333,0.0740740740740741,0,0,0,0,0.481481481481481,0,0.133333333333333,0.233333333333333,0,0.014531554789272,0.0366061823211938,0.00526773111111111
100100,6.85416666666667,3.79166666666667,1.3125,0.0416666666666667,0.5625,0,0,0.125,0,0,0.5625,0,0,0.00891069688848921,0.0520833333333333,0.0204257244293478
100120,13.6896551724138,4.68965517241379,3.16091954022989,0.0919540229885057,0,0.0689655172413793,0,0.379310344827586,0.344827586206897,0,0,0,0,0.00923442196526661,0.0268133078989776,0.00880374534558964
100178,15.4,9.6,8.4,0,0,0,0,0,0,0,0,0,0,Inf,Inf,NA
100179,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100180,10.9393939393939,11.7272727272727,2.09090909090909,0.0909090909090909,5,1.45454545454545,0,0.636363636363636,0.181818181818182,0,0,0,0,0.0230214256056338,0.0361562750941328,0.0114920384545455
102370,14.2608695652174,14.2975845410628,19.4202898550725,1.45990338164251,0.118840579710145,0.257971014492754,0,0.727536231884058,2.10724637681159,0.0434782608695652,0.0463768115942029,0.2,0,0.000591402492860122,0.0010835987729776,0.000598376859210265
100181,1.83333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,Inf,Inf,NA
100183,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100184,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
100185,26.3846153846154,12.2820512820513,6.48717948717949,0.205128205128205,0.153846153846154,0.0769230769230769,0,0,0,0,0.153846153846154,0.0769230769230769,0,0.0310280015533878,0.055356293992674,0.0196150606072874
100210,12.9924242424242,6.25757575757576,2.0530303030303,0.0378787878787879,0.0454545454545455,0.136363636363636,0,0.318181818181818,0.704545454545455,0,0,0.0454545454545455,0,0.0028295560699617,0.0134914795885394,0.00479244692199017
100240,22.5416666666667,4.61805555555556,1.36111111111111,0.0138888888888889,0.479166666666667,0.333333333333333,0.0208333333333333,0.0625,0.0416666666666667,0,0.416666666666667,0.270833333333333,0,0.00583975918052783,0.014557034008919,0.00150287797870879
100270,12.609126984127,10.7242063492063,6.90674603174603,0.0198412698412698,0.946428571428571,0.571428571428571,0.107142857142857,0.630952380952381,0.470238095238095,0.0773809523809524,0.0773809523809524,0.0238095238095238,0,0.00118868842119672,0.00299703879234344,0.00123735167779243
100300,16.6060606060606,9.72727272727273,5.15151515151515,0.181818181818182,0,0.181818181818182,0,0,0,0,0,0,0,0.0456455347058824,0.0651652721504384,0.00973536272727273
100330,13.5747126436782,10.9080459770115,9.75862068965517,0,0,0,0,0,1.37931034482759,0.0689655172413793,0,0,0,0.00685719554658841,0.0108148164472666,0.00768160045050055
