leaid,per_pupil_exp
0100005,10013.252002835112
0100006,10088.462075221547
0100007,12041.759083908715
0100008,10917.316049356608
0100011,10946.409310246949
0100012,9942.583315181877
0100013,11034.721576647764
0100030,9223.644886274264
0100060,9969.051888702494
0100090,11268.906785152272
0100100,9576.464570956447
0100120,12194.130549462754
0100180,9855.561538921798
0100185,12149.075609854768
0100188,NA
0100189,18614.94252873563
0100190,15076.655623708466
0100194,16941.176470588234
0100195,9059.604247104247
0100197,12179.591836734693
0100210,11908.838302874852
0100240,8181.4144668897425
0100270,9801.847550105344
0100300,11107.77957860616
0100330,11301.941508970263
0100360,9550.17321184245
0100390,12287.989306552117
0100420,8643.731372453218
0100450,14029.182044459703
0100480,10693.51797672453
0100510,10263.159513920935
0100540,9569.488539990432
0100600,9249.327748474507
0100630,10164.413582526902
0100660,8415.456431535269
0100690,10591.00797679478
0100720,10106.446581752014
0100750,11358.030781373323
0100780,9654.443941451636
0100810,9856.552796540162
0100840,10903.216500793307
0100870,11902.280712201513
0100900,10723.556418859262
0100930,9672.448063606053
0100960,9305.277801930268
0100990,10490.805991674588
0101020,9420.065471165923
0101050,9467.672126781195
0101080,10480.070391553014
0101110,11814.719779703977
0101140,10545.972263943126
0101170,13424.848259312965
0101200,8981.441612125387
0101230,9257.592120609961
0101260,10856.064840693125
0101290,8762.413981333166
0101320,10636.687886586302
0101350,10629.802814416164
0101380,8813.70178979352
0101410,8728.603132739378
0101440,10687.130061285423
0101470,9548.653648509764
0101530,12638.32711115183
0101560,8728.051873013836
0101590,10779.046717358502
0101620,9656.060549708038
0101640,9420.408487642057
0101660,9012.27910366187
0101680,13078.22073685048
0101690,9913.971306628271
0101710,9889.19815865539
0101720,9789.585421949638
0101730,10781.000380372765
0101740,9117.005267118135
0101760,13446.91210164549
0101770,9009.9443180927
0101800,12716.667798970735
0101830,10516.296231221997
0101860,9803.578084234066
0101890,10334.850097244138
0101920,10401.378232137313
0101950,9182.396293956623
0101980,9949.55387783116
0102010,8884.182813329946
0102040,10138.621684081616
0102070,9773.124820777519
0102100,10158.57374030467
0102130,11086.786551993746
0102160,14170.844558978564
0102190,12012.046664975907
0102220,9627.656711036174
0102250,10910.409356725146
0102310,9825.812892184826
0102350,11116.38294286196
0102370,9819.193059299192
0102400,9386.545733400322
0102430,9587.644966307083
0102480,10333.208815838625
0102490,13290.074609993217
0102520,10237.44084136722
0102550,8710.610494793438
0102580,11692.025110439432
0102610,10064.926421652
0102635,10726.748692113932
0102640,11008.427579581677
0102650,9132.711375958579
0102670,10324.739212897108
0102700,9639.105332680292
0102730,10106.652663600478
0102760,9454.115660616293
0102790,11019.360383588908
0102820,9824.804895352961
0102850,8738.308651597818
0102880,9230.419360375308
0102910,9865.247662621841
0102940,10298.957259081013
0102970,9942.755149211567
0103000,11850.767711232827
0103030,10204.925202136965
0103062,8913.484703850176
0103090,13460.02303449112
0103120,10913.423587828374
0103150,10304.905289492495
0103180,9929.850552306692
0103210,10130.10913034637
0103240,8734.29674457429
0103270,11848.910809699959
0103300,9923.39588165015
0103330,10614.196786179607
0103360,12961.49816657936
0103390,9678.396882827721
0103420,9842.687798808043
0103430,12862.019829305975
0103450,9985.48047117173
0103480,9424.94835531543
0103510,11029.357508037738
0103540,9649.24154025671
0103580,10465.308327544957
0200001,38080.95837988163
0200003,37949.245678889
0200004,34813.25033348155
0200005,29801.61943319838
0200006,NA
0200007,38683.293745051466
0200010,54882.35294117647
0200020,38197.99891833423
0200030,33405.757368060316
0200050,31545.273135445248
0200060,22404.92040520984
0200070,21132.87465061277
0200090,14894.32098765432
0200100,17340.102655657218
0200120,26425.601304525073
0200130,8342.31922422409
0200150,18030.55506916477
0200180,16278.843381632165
0200210,19921.83326588426
0200240,20627.4274574492
0200270,23677.072493929933
0200300,42998.27882960413
0200330,38289.665211062595
0200360,35211.2676056338
0200390,17431.68859649123
0200450,33618.167821401075
0200480,21258.565118777606
0200485,52375.95005428882
0200510,17165.30165149983
0200520,29148.00132144037
0200525,39837.536849000986
0200540,9439.077212806027
0200570,22900.043522414042
0200600,17244.49160035367
0200610,37813.20687731399
0200625,35412.474457526514
0200630,47287.878787878784
0200660,22011.953041622197
0200670,39454.3404735062
0200680,39036.58536585366
0200690,28595.057034220532
0200700,44826.54185022027
0200710,40002.448979591834
0200715,39169.95073891625
0200720,25117.018633540374
0200730,31663.78244746601
0200760,39779.15567282322
0200770,12005.864720448326
0200775,50956.50485436893
0200780,27555.30024509804
0200800,23166.563658838073
0200810,21531.08567893597
0200840,29575.150300601203
0200862,16752.796420581657
0400001,8850.696795808533
0400003,7270.107043192136
0400004,7880.28802880288
0400005,12476.275738585497
0400021,10093.073128886983
0400022,12855.313700384122
0400023,12628.743961352657
0400082,8117.975697192607
0400163,17195.505617977527
0400212,9230.76261714384
0400295,8435.856848891255
0400315,20165.487977369165
0400345,1317523.8095238095
0400347,378576.92307692306
0400348,144990.16393442624
0400349,112709.67741935483
0400450,9809.993545309124
0400480,9460.526315789473
0400520,8520.838077886587
0400600,7485.706922102188
0400612,178148.80952380953
0400615,284396.4110929853
0400630,14545.454545454546
0400680,9677.678521656726
0400720,12861.46095717884
0400772,110875.5980861244
0400790,8059.369283038593
0400794,205803.92156862744
0400840,10984.200385356455
0400870,25908.74524714829
0400910,12813.276397515529
0400920,NA
0400960,7946.246731801293
0401000,10190.421101341972
0401050,9318.744374437443
0401080,9048.64990689013
0401160,16511.392405063292
0401180,10608.399388124044
0401230,108636.36363636363
0401260,18123.376623376622
0401290,21730.76923076923
0401330,22967.93893129771
0401380,8149.990450523099
0401410,12499.388978884246
0401460,7782.165560478434
0401500,6844.828137490008
0401600,7704.0590915366565
0401650,10422.201579191826
0401680,7496.862651439489
0401710,7649.750290757337
0401740,10001.554107478802
0401760,8891.931413004286
0401810,17544.811320754718
0401870,7954.949120731958
0401940,12436.239751828052
0402130,16914.578587699318
0402190,14707.865168539325
0402220,11939.312204989885
0402250,11070.766157797118
0402320,8938.61841731523
0402370,8027.853229593481
0402400,6675.597311087714
0402430,8744.218766370806
0402480,NA
0402490,11402.208201892745
0402530,7032.6026426365615
0402600,11160.313901345291
