"X","leaid","year","total_schools.x","count_alt_school_schools","percent_alt","count_tracking_schools","percent_tracking","count_magnet_schools","percent_magnet","count_charter_schools","percent_charter"
1,NA,2011,208,62,0.298076923076923,51,0.245192307692308,1,0.00480769230769231,17,0.0817307692307692
2,NA,2013,112,28,0.25,NA,NA,3,0.0267857142857143,5,0.0446428571428571
3,NA,2015,277,18,0.0649819494584837,NA,NA,4,0.0144404332129964,164,0.592057761732852
4,NA,2017,125,28,0.224,NA,NA,1,0.008,8,0.064
9,100020,2011,1,1,1,1,1,NA,NA,NA,NA
10,100021,2011,1,NA,NA,1,1,NA,NA,NA,NA
17,100042,2011,1,NA,NA,1,1,NA,NA,NA,NA
18,100043,2011,1,NA,NA,1,1,NA,NA,NA,NA
23,100184,2011,1,NA,NA,1,1,NA,NA,NA,NA
33,100390,2011,9,NA,NA,NA,NA,2,0.222222222222222,NA,NA
34,100390,2013,10,1,0.1,NA,NA,2,0.2,NA,NA
35,100390,2015,10,NA,NA,NA,NA,2,0.2,NA,NA
36,100390,2017,10,NA,NA,NA,NA,2,0.2,NA,NA
57,100810,2011,2,NA,NA,2,1,NA,NA,NA,NA
64,100870,2017,3,NA,NA,NA,NA,1,0.333333333333333,NA,NA
69,100960,2011,3,NA,NA,2,0.666666666666667,NA,NA,NA,NA
73,101020,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
77,101050,2011,1,NA,NA,1,1,NA,NA,NA,NA
81,101140,2011,9,NA,NA,9,1,NA,NA,NA,NA
85,101170,2011,1,1,1,NA,NA,NA,NA,NA,NA
108,101740,2011,1,1,1,NA,NA,NA,NA,NA,NA
109,101740,2013,1,1,1,NA,NA,NA,NA,NA,NA
110,101770,2011,2,NA,NA,1,0.5,NA,NA,NA,NA
114,101800,2011,2,NA,NA,1,0.5,2,1,NA,NA
115,101800,2013,5,5,1,NA,NA,5,1,NA,NA
116,101800,2015,5,NA,NA,NA,NA,2,0.4,NA,NA
117,101800,2017,6,NA,NA,NA,NA,2,0.333333333333333,NA,NA
123,101920,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
131,102010,2011,6,NA,NA,1,0.166666666666667,NA,NA,NA,NA
137,102100,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
141,102190,2011,1,NA,NA,1,1,NA,NA,NA,NA
145,102220,2011,3,NA,NA,2,0.666666666666667,NA,NA,NA,NA
156,102370,2017,4,1,0.25,NA,NA,NA,NA,NA,NA
165,102480,2011,5,NA,NA,1,0.2,NA,NA,NA,NA
169,102580,2011,1,1,1,NA,NA,NA,NA,NA,NA
182,103030,2011,1,NA,NA,1,1,NA,NA,NA,NA
198,103210,2011,2,NA,NA,1,0.5,NA,NA,NA,NA
202,103360,2017,1,NA,NA,NA,NA,1,1,NA,NA
205,103390,2017,1,1,1,NA,NA,NA,NA,NA,NA
210,103480,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
214,200001,2011,22,NA,NA,22,1,NA,NA,NA,NA
218,200003,2011,11,NA,NA,11,1,NA,NA,NA,NA
222,200004,2011,3,NA,NA,3,1,NA,NA,NA,NA
233,200010,2011,2,NA,NA,2,1,NA,NA,NA,NA
243,200070,2011,3,NA,NA,3,1,NA,NA,NA,NA
257,200130,2013,1,1,1,NA,NA,NA,NA,NA,NA
260,200150,2011,2,NA,NA,NA,NA,NA,NA,1,0.5
261,200150,2013,2,1,0.5,NA,NA,NA,NA,1,0.5
262,200150,2015,2,NA,NA,NA,NA,NA,NA,1,0.5
263,200150,2017,2,NA,NA,NA,NA,NA,NA,1,0.5
264,200180,2011,12,3,0.25,NA,NA,NA,NA,4,0.333333333333333
265,200180,2013,9,NA,NA,NA,NA,NA,NA,5,0.555555555555556
266,200180,2015,10,NA,NA,NA,NA,NA,NA,6,0.6
267,200180,2017,11,NA,NA,NA,NA,NA,NA,6,0.545454545454545
268,200210,2011,2,NA,NA,1,0.5,NA,NA,1,0.5
269,200210,2013,2,1,0.5,NA,NA,1,0.5,1,0.5
270,200210,2015,2,NA,NA,NA,NA,NA,NA,1,0.5
271,200210,2017,2,NA,NA,NA,NA,NA,NA,1,0.5
273,200240,2013,1,1,1,NA,NA,NA,NA,NA,NA
288,200390,2011,13,NA,NA,NA,NA,NA,NA,1,0.0769230769230769
